code_commune,nom_standard,population,latitude_centre,longitude_centre
77001,Achères-la-Forêt,1154,48.348,2.565
77002,Amillis,811,48.736,3.135
77003,Amponville,346,48.287,2.531
77004,Andrezel,311,48.615,2.807
77005,Annet-sur-Marne,3317,48.922,2.708
77006,Arbonne-la-Forêt,992,48.41,2.561
77007,Argentières,354,48.652,2.871
77008,Armentières-en-Brie,1205,48.981,3.016
77009,Arville,135,48.181,2.557
77010,Aubepierre-Ozouer-le-Repos,946,48.62,2.903
77011,Aufferville,483,48.205,2.601
77012,Augers-en-Brie,285,48.667,3.352
77013,Aulnoy,361,48.849,3.089
77014,Avon,13660,48.413,2.734
77015,Baby,106,48.389,3.345
77016,Bagneaux-sur-Loing,1595,48.223,2.708
77018,Bailly-Romainvilliers,7169,48.843,2.817
77019,Balloy,343,48.397,3.151
77020,Bannost-Villegagnon,648,48.675,3.192
77021,Barbey,153,48.366,3.05
77022,Barbizon,1241,48.448,2.6
77023,Barcy,362,49.017,2.877
77024,Bassevelle,395,48.923,3.282
77025,Bazoches-lès-Bray,875,48.398,3.193
77026,Beauchery-Saint-Martin,364,48.602,3.421
77027,Beaumont-du-Gâtinais,1155,48.141,2.492
77029,Beauvoir,183,48.642,2.864
77030,Bellot,774,48.842,3.324
77031,Bernay-Vilbert,961,48.675,2.93
77032,Beton-Bazoches,935,48.707,3.246
77033,Bezalles,228,48.667,3.24
77034,Blandy,775,48.56,2.795
77035,Blennes,546,48.245,3.012
77036,Boisdon,134,48.676,3.226
77037,Bois-le-Roi,5979,48.476,2.702
77038,Boissettes,417,48.524,2.615
77039,Boissise-la-Bertrand,1181,48.534,2.59
77040,Boissise-le-Roi,3700,48.512,2.57
77041,Boissy-aux-Cailles,276,48.312,2.493
77042,Boissy-le-Châtel,3285,48.825,3.137
77043,Boitron,328,48.897,3.262
77044,Bombon,944,48.568,2.868
77045,Bougligny,722,48.199,2.667
77046,Boulancourt,332,48.262,2.451
77047,Bouleurs,1720,48.879,2.908
77048,Bourron-Marlotte,2762,48.335,2.702
77049,Boutigny,825,48.913,2.929
77050,Bransles,525,48.149,2.828
77051,Bray-sur-Seine,2356,48.415,3.244
77052,Bréau,360,48.558,2.88
77053,Brie-Comte-Robert,19213,48.692,2.614
77054,La Brosse-Montceaux,730,48.339,3.024
77055,Brou-sur-Chantereine,4992,48.89,2.64
77056,Burcy,146,48.233,2.526
77057,Bussières,561,48.927,3.238
77058,Bussy-Saint-Georges,26571,48.831,2.722
77059,Bussy-Saint-Martin,702,48.846,2.679
77060,Buthiers,749,48.287,2.454
77061,Cannes-Écluse,2659,48.364,2.991
77062,Carnetin,456,48.904,2.699
77063,La Celle-sur-Morin,1251,48.796,2.972
77065,Cély,1241,48.46,2.525
77066,Cerneux,294,48.705,3.346
77067,Cesson,11140,48.565,2.595
77068,Cessoy-en-Montois,214,48.507,3.139
77069,Chailly-en-Bière,2118,48.47,2.612
77070,Chailly-en-Brie,1539,48.792,3.134
77071,Chaintreaux,831,48.191,2.814
77072,Chalautre-la-Grande,671,48.55,3.446
77073,Chalautre-la-Petite,549,48.527,3.315
77075,Chalifert,1482,48.895,2.773
77076,Chalmaison,753,48.49,3.256
77077,Chambry,1038,48.998,2.894
77078,Chamigny,1378,48.985,3.142
77079,Champagne-sur-Seine,6356,48.409,2.808
77080,Champcenest,196,48.671,3.277
77081,Champdeuil,731,48.622,2.731
77082,Champeaux,810,48.592,2.811
77083,Champs-sur-Marne,25695,48.848,2.596
77084,Changis-sur-Marne,1386,48.966,3.025
77085,Chanteloup-en-Brie,4171,48.858,2.74
77086,La Chapelle-Gauthier,1420,48.531,2.863
77087,La Chapelle-Iger,184,48.652,2.992
77088,La Chapelle-la-Reine,2301,48.316,2.567
77089,La Chapelle-Rablais,899,48.506,2.961
77090,La Chapelle-Saint-Sulpice,240,48.558,3.18
77091,Les Chapelles-Bourbon,469,48.744,2.836
77093,La Chapelle-Moutils,420,48.777,3.383
77094,Charmentray,298,48.951,2.779
77095,Charny,1575,48.97,2.756
77096,Chartrettes,2543,48.494,2.714
77097,Chartronges,300,48.751,3.263
77098,Châteaubleau,361,48.583,3.109
77099,Château-Landon,3085,48.148,2.7
77100,Le Châtelet-en-Brie,4258,48.502,2.803
77101,Châtenay-sur-Seine,1054,48.42,3.094
77102,Châtenoy,159,48.231,2.627
77103,Châtillon-la-Borde,222,48.538,2.827
77104,Châtres,711,48.713,2.816
77106,Chauffry,1014,48.822,3.181
77107,Chaumes-en-Brie,3401,48.667,2.845
77108,Chelles,54309,48.884,2.597
77109,Chenoise-Cucharmoy,1654,48.622,3.192
77110,Chenou,301,48.165,2.653
77111,Chessy,6875,48.872,2.77
77112,Chevrainvilliers,254,48.246,2.602
